,review,target
17,"Couldn't make it work, even belted. ivory color is darker irl--dingy light tan, like dirty vintage. ""drop"" waist is not dropped at all, just a maternity-ish cut that starts boxy-loose high up (below bust), then abruptly flares out at bellybutton level (not low hip) into the skirt. i usually find a-line cuts good at giving illusion of a willowy, curvy waist, but this does not--adds ten pounds. poly fabric heavy/hot; rayon lining awkward and doesn't flow/drape. (5'3'' 127lb 34a, tried xs)",0
18,This top is awesome. i purchased the gold color in a small. fits perfectly and true to size; sleeves are nice and long. definitely recommend!,1
19,"I thought this would be so clean looking, in a theory/vince. menswear way, but unfortunately the cut of the coat is super unflattering. i waiver between a 2 and a 4 at retailer and erred on the side of caution and went with the 4. the shoulders are way off the mark, sleeves are too long, and the button hits about 3 inches too low. it's just...baggy...in a way that the size itself is not the issue. alas, this is going back, and my search for the perfect coat continues!",0
20,"I was so in love with these when i saw them online. they arrived today, and while the fit was great, i was disappointed. the colors are definitely more drab in person than what's pictured in the photo. the material is very thick. it's soft and they'd be warm in cold weather, i'm sure. i liked them, but they were underwhelming. if they were less expensive, i would probably keep them because i liked the fit and they'd be a quirky alternative to what i usually wear to work, but sadly, back they go.",0
21,A seasonal must have. nicely made. medium weight. cozy. buttons to half way down. i am petite and the xs fits with enough room for layers underneath. highly recommend.,1
22,"I ordered the lavender version in xl. it fit me as shown on the model so i think it runs true to size. it is a little shorter than shown. it hits my waist & i'm 5 ft. 5 1/2 in. for reference. it fits close through the arms & body but with a comfortable, stretchy material. a tank underneath is needed. i love the draping. it's very flattering. the color is more of a gray than purple. i took the chance on it when it was on sale and it's now a favorite. great neckline for wearing necklaces too.",1
23,"Seriously the best jeans i have bought in years - better than my favorite paige and ag stevies. i sized down from a 27tall to a 26tall and they still aren't super tight, i think maybe some could even go down 2 sizes - i do still have a lot of room in the waist but i am pretty straight through the hips. i am almost 5'10 with long legs and the tall is a great ankle length and fits me like the model. wonderful stretch, comfy, great color and awesome ""ageing."" i don't normally like the ripped jean l",1
24,"This dress is beautiful. it may run a tad large. everything about the dress is very appealing from the nice fabric, beautiful design and colors of the print. it will go straight into fall. so very happy i tried it! i have a beautiful, elegant dress for the hot weather.",1
25,"I'm glad the previous reviews had mentioned the dolman sleeves so i was better prepared for how it would fit. you do have to do some rearranging of the fabric, but it generally stays put and isn't bothersome. the neckline is a bit more structured than shown in the pictures, but it only adds to a more sophisticated look. great fabric and color as well.",1
26,So you're thinking this is a red and black skirt right? nope. it's an obnoxious cherry red netting with cranberry crushed velvet insets overlaid on bright red actual spandex. spandex that shows every wrinkle and panty line. it's really god awful.,0
27,"Fits great. structured, but still comfy. figure flattering.",1
28,"This is a beautiful cardi. the cutouts and the full front panels all make it stand out. that said, there are 2 minor flows imo worthy of mentioning, none diminish my satisfaction toward it though. the sleeves are slim, meaning no long-sleeve shirts under it, for me at least. the fabric is a bit ""catchy"", meaning you'd better wear something silky or slippery under so the fabric doesn't crumple up behind your back. nevertheless, i will have so many uses for it 

last, but not the least, is my sa",1
29,This is a fantastic top to wear with the paige high wasted flair jeans. love it,1
30,This is one of those dresses that looks so cute on the model but doesn't look anything like that in reality. it has no shape and it fits weirdly all over. i am normally a m and i ordered the s and it is massive.,0
31,"If you're a little afraid to rock a jumpsuit this one's for you. the palazzo leg makes it look a lot like a dress. a light shelf bra was very supportive even for my d/dd cup. it does run large. i'm typically a 14/16 and was easily able to fit in the 12, although the look it a bit racier on me due to cleavage. hides any tummy you might have very well due to the flowing cut. the fabric is light and comfortable. my only complaint is i wish it was a tad longer. i can not wait to rock this at a weddi",1
32,"I love ag stevie cords! i'm 5'4 and pear-shaped and the 26p fit great, the length and mid-rise are perfect! very comfortable and can be dressed up for casual work environment or down for weekend. the material is a bit thinner and not as soft as versions from previous years but still very nice and perhaps more versatile. wish petite had more color options.",1
33,"Tried this on in the ""onsie"" area of retailer store. i usually am between a medium and a large. the medium fit fine. the material in this top is substantial - very thick and soft but it is very thick as a warning. more for a pretty cool spring evening vs the heat of the summer in chicago. not sure how much the material would stretch out either. as it seems like it could be the type. also, it is dry clean only, and on such a casual top, that is a real deal killer for me. 

regarding the style of",0
34,"I loved the way this top looked in stock photos. the colors are bright and cheery and it's a great transition piece. but the way the sleeves are cut almost makes them feel like water wings (if that makes sense)? they are stiff and wide and awkward. i've worn this a few times, hoping maybe the sleeves would relax down. they haven't. maybe it will look okay under a blazer for the office or something.",0
35,"I've been wearing these shorts for years, i work outside and it was great to have comfortable jean shorts that were just the perfect length. the fabric quality on these shorts (and many many other retailer items) has gone down. sure, they're great when you try them on in the store..soft, comfortable, flattering, but when these are worn for a day they get so stretched out that i feel like i need a belt to keep them on. i wore these several times, sat down on a relatively smooth concrete wall, and a",0
36,"I found this skirt on the sale rack and apparently miss marked and i did not try it on. when i got home i tried it on to find it has this open flap in the front with a very short slip. the color is a dark navy. i love the brand because they claim on the label to be made in the usa, which is something i prefer. i am still on the fence about this skirt thinking maybe i would bring it to the tailor to see if the panel can be stitched to the faux leather material half way down to eliminate this full",0
37,"A lovely, creatively designed tunic that just isn't for me.  the embroidery is certainly intricate and the chambray shirt has a wearable hand, but the combination on my body type didn't look quite right, probably because i am too top heavy and apple torsoed.  i think if i were more slender, the fit would look like a flattering dress.  i had purchased the size 10 and i am 36dd 140#.",1
38,"This was such an adorable print that even though it was a bit pricey i decided to splurge! alas, the fit just wasn't good. it didn't look good on me and bunched up in all the wrong places. sadly, i had to return it. i've bought swimsuits from seafolly before and recommend the brand due to the high quality, unfortunately this particular style just didn't look that good on me.",0
39,"This jacket doesn't look all that special in the photos provided. i found it at my local store and i knew it was mine the moment i tried it on. it has that boxy shoulder look i associate with 80s power suits. i call this look: ""full sigourney weaver"" and it is marvelous! perfect for a lunch date with harrison ford circa 1988. so happy with this purchase. highly recommend!",1
40,"I really like this piece; the fit is great, the double zipper falters and cinched waist and 3/4 sleeves flatter. i will say, it's pricey for what it is (a cardigan) - but it's a great, versatile closet staple.",1
41,"I like the skirt. that said it is going to the tailor to have some of the fullness taken out. just a lot of material going on, and heavier than you might have imagined. i will wear it fall & winter with white & navy cardigans.",1
42,"After trying several sizes, including petite and regular, i am sad to return this dress. the regular sizes were too long on me (i am 5'4"") and although the petite fit me just a little short, the biggest issue was how tent like it fit me. i wanted it to look like it does on the model but i just couldn't get the fit. usually i have great luck with cloth & stone.",0
43,"This dress is perfect. i'm literally wearing it right now. it's crazy comfortable while still being flattering. it looks and feels high quality, and just barely doesn't hit the floor. it makes me feel like a goddess. plenty of room in the bust area, even for me (36dd), and doesn't show bra straps or underwear. highly recommended!",1
44,"This is a beautiful looking dress, but definitely runs wide and long. i'm 5'4, 112llbs and my normal xs swallowed me up. if it had been available in xs petite then that probably would have worked, even though i normally never go with petites. it is a gorgeous dress, and would probably work on those ladies who are taller.",0
45,"These shorts are extremely cute! i usually have a hard time finding shorts i like, but when i saw these the floral and brocade was too nice not to try. the length is good and they are not tight on the thighs, but not too loose either. the material makes them friendly for work as well as outings and running about town. i got my usual size 8 and found that to work perfectly!",1
46,"I agree with other reviewers. it is beautiful but too tight around the chest. i am usually an xsmall and the xsmall was tight in the chest. i bought the small and it was still uncomfortable. sadly i had to return it. i am 5'4"", 134 lbs and a 34c, by no means i am considered big chested so this is highly unusual.",0
47,So cheerful and colorful! love these cozy pj pants!,1
48,"I love this shirt. the quality is great, and very soft. the length seems a bit short, i will only wear it tucked in to a higher waisted skirt. the arm holes are tight.",1
49,The fun colors drew me to this but it sure fit weird. the top was fine but it became a bit tent-like in the waist. the material doesn't feel great either.,0
50,"Pretty color, great details, awesome stitching.. aaaaannnnnnd it actually not only goes out a line but ballooned out above the hem and then came back in - just too much fabric down below. nice at neck, arms and chest but disastrous anywhere below that.",0
51,"In the words of my husband, ""looks like you're wearing a bag."" i'm althetic and short. maybe this works best on tall and very slim?",0
52,"Bought this shirt because i loved the cut and the stripes. had little to no shape to it. some may think it runs big but it appears that is the look this top is going for. i feel like being short, i just looked kind of dumpy on me. fabric is nice but borders on see through. it was just ok....nothing exciting.",0
53,"This is really cute but does run large, if your in between sizes size down. the fabric at the front is super bulky but with a smaller size could be ok? it is so itchy, imo uncomfotably so! i would have returned for a smaller size had it not been so uncomfortable, ugh why! i loved the sleeves, very cute bell. and the back hung nicely. they need to make this in a cotton, vocoder and no wool! loved bit couldnt bear it.",0
54,"This shirt aesthetically is very pleasing. i love the overall design and colors. however, when i tried it on i was immediately itchy! the material is not soft like a cozy sweater ought to be. in addition, though i ordered a size medium, it fit very large - almost too oversized. the sleeves were extremely long on me and the overall body was too big. it's too bad, i really loved the look but i'm not the type to layer. if you are, go for it, but get a size smaller than you normally would!",0
55,"I love this shirt!!! the front is a little shorter than i thought it would be, but overall, it is so cute and comfy!! wish they had it in more colors!!",1
56,"I bought this top in the brown /white combo although i really wanted the red /white but haven't had any luck finding it. i am never sure of my size in retailer but run anywhere from small to large depending on brands. i'm 5'4"", 140, 34 ddd. i wish other reviewers would state their sizes to help others purchase.. i got this shirt in size 8 which usually never happens to me. i wear a white tank or cream cami underneath since it is very sheer and dips low at the cleavage area. it is still flowy but n",1
57,"The colors on this kimono are amazing and i really loved it, however, i too noticed the 'delicateness' of the material. it is so delicate that parts were starting to fray - including next to the kimono's label. so sad.",0
58,"These pants are so comfortable. they're very flowy, and provide so much airflow to keep you cool during hot days. i actually bought these pants for work (i'm a teacher). i like to pair them with a white top and a cardigan. the waist band is elastic, which is super nice. the only thing i would like better is if the waist line was higher. the pants come up right below my natural waist, so they're not quite as high waisted as i would like. but other than that, their silky material give them the ill",1
59,"Runs very large and way too much fabric. i wanted this top to work because it looks cute on hanger. i usually wear s/m and the xs had too much fabric. may work better on someone with longer torso and taller. i am 5'6.5"" 36c 126lbs",0
60,"This is a very pretty, feminine top with nice detailing.",1
61,"I thought this top would be a little more form fitting than it is. there is so much extra fabric near the bottom it is almost like a swing style top. the fabric will most definitely snag, as it is not a linen or cotton top material but rather a silky type and also very thin - not very good quality. i got the smallest size possible and it was absolutely huge, everywhere but the neck.",0
62,"I was so excited for this dress to arrive, but when it did, it was a major disappointment. there is no lining on the skirt portion of the dress leaving it sheer. also, the top part along the chest puckered in a weird unflattering way. the colors were beautiful, but not enough to to make up for the other design flaws. i am 5'6"" 140lb and the small fit tts. will be sending it back",0
63,"I wear stuff like this a lot so naturally i got this one. i love it and i think it's flattering however it wrinkles easily and also when i hand washed in cold water it shrunk a little which super irritating, but i'm going to wear it anyway. i think it can be worn with many things so it'll stay in rotation a while.",1
64,"I was so excited for this to arrive. at the end of last summer, my favorite shirt (you know the kind - dresses up or down with ease - it's your go to for work or a night out with friends) was ruined and i have been searching for the perfect replacement. i thought that this would be a good contender, but i was ever so disppaointed when i opened the bag...

firstly, the base color is not accurately represented in the photograph - in person its more of a peachy off-whte instead of white. still pr",0
65,This vest is great. i'm wearing with my red striped turtleneck dress i got on sale here. i can see this going with so many outfits. mainly those dresses that might feel a little tight around butt and hip area- this will cover it all. worth full price imo. tts. i'm a 10 and this in m is perfect.,1
66,"I opened the package and the dress is two pieces. it is the skirt part with an orange cami top that the sweater goes over. the sweater was too short for me, as i am busty and would not work. i ordered my normal size and the band around the rib cage did not go from side to side so i didn't try it on.",0
67,"Gorgeous! this dress fit so well and it super flattering. i got it in green and the colors are just lovely. i had to get it hemmed because i'm short and i couldn't find it in petite, but definitely worth the extra cost. i love, love love it.",1
68,"I tried this top in xs in store.  i loved the macrame  detail and quality of fabric.  it billowed out too much below the chest and looked tent like.  my daughter laughed when she saw me in it- so did i!  i didn't buy it.  i'm 5'2"", 115#.",0
69,"I wear this top all the time! perfect with jeans and can't wait to wear with a skirt in the summer.
i am 5'2 and have the xs which hits in a great length, just as pictured. i bought at full price, so for the sale price you are getting a great deal!",1
70,"I should have listened to the previous review on-line before ordering. unfortunately this will go back as the design fit and proportions are simply off. i love uniquely shaped wraps like this, but this one didn't make the cut for me.",0
71,"Ordered it in small regular and xtra small petite. what was surprising was that the xtra small petite fit better (meaning more room) across the chest. i'm normally a medium or medium petite, but this runs large. if you're unsure of a size, get both and return the one that doesn't fit as well. it's much better in person and looks very rich in colors and quality. the only complaint i have is there were some loose yarn pieces just dangling off the edges. i trimmed up with scissors and they didn't e",1
72,"I really liked this top but when i tried it on it was big and too boxy. i considered ordering it in petite but the sales person said that the cut would be the same, boxy but shorter so i decided to pass.",0
73,"The colors on this jacket are a murky blue with a pale mauve tone for the lighter color. size is a bit on the large size. i did not feel that the jacket was that well-made and would hold up to much wear. i was looking for a jacket to dress up jeans, black pants etc and this did not fit that need. it would be a warm jacket if that is a need.",0
74,"If you know one.september and you know what's good for you, then size the heck down. maybe even two sizes if your particularly slim or want the dress to fit tighter. any way, this dress is simply scrumptious! the embroidery at the bodice is so detailed and pretty. the layers are light and soft like silk (but it's rayon/poly) and the sleeves are sheer and voluminous. i actually prefer the sleeves rolled up because they are too long. neckline features a slit-v with two hooks to close if wanted. co",1
75,"This shirt is comfy, fits well, the color (pink or dusty rose) works well with most outfits, but the front hook is ill-placed and often visible. it could be tucked under better so as not to show, but it isn't and does show. i feel that i frequently need to fluff it up to hide the hook. otherwise, i like it, but i wouldn't have bought it unless it was on discount, which it was.",1
76,"Love this top! made with 100% cotton, a vintage look, and flattering details this top is a winner for me. i think it fits true to size (got my regular size 0) and i did not need the petite and i am fairly short (5'3""). it is somewhat see through, but with wearing a nude bra and not wearing it to work, i think it can be worn without a cami. the perfect lightweight, comfortable, standout piece for the summer time :)",1
77,"Ok...so after reading the other reviews, i'm sad to say i rated this as ""runs small"" only because i usually buy one or two sizes smaller in maeve than i settled on with this dress. it's actually an adorable dress but i'm sure you have to have the right figure. i don't think any one woman has the same figure as another and this dress is made for someone with a very definite hourglass figure. i have a large chest, a moderate middle and large hips. i really loved both sizes but i chose to size up b",1
78,"After reading the reviews i sized down to a 6. once i received it, i loved the fabric and color, however it was so ill-fitting. it's like the designer didn't even use female measurements and used a box to make this top--too wide. i liked it so much that i sized way down to a 0 and it still fit horribly. it is too wide and not long enough. both are going back!",0
79,I love the pattern of this shirt but there is definitely a design flaw in the arm/armpits.,0
80,"Beautiful detail, soft drapey fabric. but it pulls funny from where they added stitching at the top of the v. for me it was also a little short but i have a long torso. i'm 5'7"" 155lbs and the size medium fit nicely with the exception of the length.",0
81,"I got the small petite and this fits beautifully, as on the model (i am 5'2""). i do think that it flatters a flat belly more than it would flatter a fatter one! it would certainly hide any belly, but the drape works best if you're streamlined, i imagine. if you've got a tapering torso, go for it! depending on your bust, you may want to pin the overlapped fabric just to be sure of hiding the bottom of your bra. not that i've found it a problem.",1
82,"Such a unique mix of prints but it totally works. much better and more vibrant in person. true to size. fits more like a maxi on me since i'm 5'1""",1
83,Looks professional but wears like a sweater! so comfy!,1
84,"I love maeve dresses but there are several issues with this one (for my taste). 1) the fabric and color closely resembles my medical scrubs, 2) the zipper is cheap and barely goes up or down, even when it's just on the hanger. 3) the bow is really cute but doesn't make up for the other shortcomings.",0
85,"I love the idea of this shirt, but the execution is absolutely horrible. i ordered online and what i received is just a mess. the stitching at the bottom has big globs of black thread. not just a few hanging off, but literally big clumps. a large portion of the stitching on the whole shirt looks like it should be on the underside of the shirt as the where the thread is tied off is on the outside!! the fit is just as big a mess. i always have to buy a large in fitted shirts because i have very br",0
86,The fabric of this looks and feels so cheap it's hard to believe this is anna sui. i would say this is unwearable. there is zero stretch and it is made of itchy textured poly fabric that looks like novelty fabric at best. going back asap.,0
87,"I so wanted to love this dress, despite the reviews. when i opened the package i fell in love with the fabric. the print is absolutely beautiful and the fabric feels luxurious. the dress fit perfectly but there was just too much fabric (even though i absolutely loved the fabric). the flowing overlay was just too much. i am returning it.",0
88,I am returning the dress. it has too much volume and is not flattering at all,0
89,"I saw this skirt online and had to have it. as another reviewer mentioned, the color is more of a yellowy ivory. the skirt is very pretty, but also has a very thick/heavy satin polyester lining. i don't feel like i could wear it during the summer because the thick poly lining wouldn't breathe. that was the deciding factor and sadly i'll have to return it.",0
90,"I bought this top in a small and it was true to size. loved that it wasn't too fitted across the back, but was still able to show a bit of body with the drawstring by the waist. it will become a wardrobe staple during the hot months in dallas.",1
91,"This dress is so pretty- the colors are vibrant, beautiful pattern, the ruched part in the center hides the tummy!!! the neck line was too low for me, so had to wear a red cami underneath which hid the skin showing parts in the back around the waist. so instead of skin color, it was now red- even more prettier! no body could tell!! got so many compliments!!!",1
92,"This is an absolutely beautiful dress, but arrived with several holes in it!",0
93,"I swooned over this dress when it first came online. i had never worn a petite size before so i wasn't sure about the fit. i am curvy (34dd-27-42) and normally wear a size 8 dress, but the 6p fit me like it was made for my body. i think this is because the dress runs large, but i really really enjoyed the fit. the quality of the lace is evident immediately and the color is more of a cornflower blue, which i adore. the lace feels like a soft cotton, but has a lot of strength to it. cannot recomme",1
94,"I order from retailer regularly and am pretty consistently a 0 petite or xxs petite. i ordered this in a 0 petite and it was like 5 inches too small in the rib cage and chest area. even if i would have got it zipped up, the halter cut is cut narrow so you can't wear a bra for sure...strapless would be necessary. also, the actual neck part was tight. for reference, i am 5'3"", 108 pounds and a 32c bust. it seems you need to be flat chested to pull this one off and maybe missing a few ribs.",0
95,This was just not flattering for me--looked too much like a maternity dress. i can't really do a belted waist so perhaps that would make this dress more versatile for someone else. i was sorry to have to return because it goes well with sandals and boots!,0
96,"I initially bought this dress to wear to an interview that required something casual, yet could be dressed up with interesting jewelry. although i ended up wearing another black dress, i kept this.  paired with interesting black booties and a great necklace, this dress is easy to wear  - and stylish. most importantly, comfortable. i could see myself wearing this on days that i feel inspired to dress up, but want to wear something that is not fussy. and, the pockets!",1
97,"This coat is beautiful! i love the color and the design. it definitely runs a little large. i usually wear a small or a zero and i can wear a small wth a large sweater underneath no problem. i might have wanted an extra small but i just stuck with the small because i needed the coat already. the vest keeps it warm, but the sleeves aren't lined so it's cold unless you have a nice sweater underneath it if you're going to be in cold weather.",1
98,I received so many compliments on this dress. i purchased my usual size 12 and it fit fine. i agree with some other reviewers that i could have probably gone a size down for a more snug fit.,1
99,"Loved this shirt when i saw the picture. unfortunately fit was not what it needed to be to keep it. you can't really see in the photo but if you have any chest at all (i am only 34b...so would say of average size bust) this shirt will not fit well. there is a seam in the bust area that cuts across the bust which is not flattering/doesn't fit well . the sleeves were also a bit more tight than i'd have thought from the photo.

really wanted to love this - but unless you have a smaller chest it lik",0
100,Cute in the on line photo but in person it looks cheap and has gold running through it. if you look really close in the photo you can see it.,0
101,"This dress is really fun and easy to wear all winter. the colors are really easy to pair and like the last reviewer mentioned, i love the sheer sleeves. i was very worried about the comfort of the fabric because most sweater dresses always fail. this dress is extremely comfortable to wear. it is not scratchy at all. it is soft and comfortable for winter even indoors with the building's heat blasting away. the dress will fit the size you normally wear, however it may show lumps and bumps. i would",1
102,"I received this jumpsuit today in size medium. i am normally a size 4-6. overall, the jumpsuit fit. i am 5' 8.5"" tall and the length was fine if i wore flats. the issue with this jumpsuit is the bottom half. the top jersey wrap part fit great--nice and stretchy, fit nicely on the curves. the problem is that the wrap part stops at your rib cage and the pants begin somewhere way up high, definitely on the rib cage. the gathering of the pants gave me a pooch where i don't have one, but the deal kil",0
103,"I agree with the previous reviewer that this shirt is way to sheer at least for me. if you don't mind wearing a cami under it or your bra and skin showing in the back especially, then it might be for you. i did not feel like it was very good quality either the print is really cute, but then it did not button all the way up and i like the option because i think they drape better when they have buttons to the top wether you choose to button up.",0
104,"This tunic looks awesome in the picture. however, it is made of an uncomfortable sweater-like material not left of centers normal skin cotton. i was disappointed once i saw this in person. not a great material for summer.",0
105,I thought it was only me and immediately assumed i needed to go on a diet when i attempted to put this adorable skirt on. it got stuck at my hips. i'm a very consistent size small in dresses and skirts. i actually thought about putting it on over my head but that was impossible. its going back. now i see the other reviews and am relieved that its the skirt and not me! wish i had read them before purchasing. retailer is going to get a lot of returns on this one.,0
106,This is my favorite top! i'm a 36d and usually wear a medium or large. i love this paired with skinny jeans or my level 99 blue shorts.,1
107,So small! i was a solid size 12 in skirts but recently lost some weight. i was still nervous to buy a size 10 so i bought the 12 thinking i can always take it in if i have to. the 12 - which should have been big on me was tiny. this skirt is built for someone with non-existent hips. returning.,0
108,"Love, love, love. i have both colors and wear with leggings. it's not a heavy sweater and has a great drape, super flattering. i'm usually a medium and it runs true to size - not supposed to be tight. i find it a little low in the front,but a tank underneath takes of it. washes well.",1
109,"I ordered a large and despite wearing a large in many other items from antrhopologie, this item was too small, especailly across the bust. it was very well-made and the color green is beautiful, but unfortunately, i will not be able to wear it. so disappointed.",0
110,Out of stock so quickly in my size. please restock!,1
111,"The large is perfect for me and is just my style - not too baggy but just shapely enough to where to the office with or without leggings, as the fall approaches. i bought the blue; the color is rich and saturated. the material is soft and all around comfortable, which is my number one factor in buying clothes. love its versatility too, since a jacket and scarf can dress it up. shoes also dress up or dress down the dress. all in all a bargain.",1
112,This looked nothing like the picture on me. was long and very unflattering. belled out greatly at the bottom also. the material was thick which is why i give it three starts for quality. but overall awkward.,0
113,"I actually rather like this top, i ordered a size smaller than usual, based on how flowy it looks in the picture, and was quite pleased. the pink color is rich, and i love the cut work... it has a bit of a sparkle in it, and is very pretty and flattering on the back. it does swing out a lot, but i ended up half tucking it. the pink color is very nice. it is gauze material, so of course, it is thin. i usually buy 0 but this 00 was great. also, there was no petite in the pink, so can't comment on",1
114,"I recently bought this dress and wore it once. i really liked it! it was comfy, cute and fit well. but... then i washed it. i followed the washing instructions exactly, but now it looks more like a shirt than a dress and it's completely unwearable. i'm super disappointed because i thought this dress would be a wardrobe staple this summer.",0
115,"My local retailer had one of these skirts in store, presumably a return. i was so excited when i found out that it was in my size! i'm 5'7 and usually a 2 or 4 at retailer and bought the 2 for reference. the skirt is made of a heavy fabric and the pockets are lined with paisley fabric! the seams look really sturdy and the skirt moves well. it's very cute and super easy to wear. i styled it with brown boots, an retailer belt and a white button down. great for spring/summer xx",1
116,"Such a cute top. does run slightly big, depending on how loose you want it to be. for such a simple design, the quality is great.",1
117,"Description is wrong. not a swing tunic. more long and straight. keep that in mind when buying this. if you have hips, this might not be the top for you",0
118,"I finally found this dress in store today and wow! i cannot believe this cheap looking dress is from ms! they have been among the top at retailer and this unlined, baggy, cheap velvet sub is a shock! what happened? only the color is nice. please get back to yourself ms!",0
119,"Nice fabric, great color, would be lovely ... on someone with a straight-and-narrow body type. for ladies with curves, take a pass--too much like maternity wear, and not in that elegantly slouchy kind of way. the straight-up ""is she or isn't she"" kind of way.",0
120,"Very pretty color (slightly darker than on my computer), a bit like a light periwinkle/lavender... embroidery is lovely and the dress has a fresh spring-like quality. the style is a basic shift, but the color and details make up for the straight shape. great dress for the spring/summer months. good quality and was a nice deal on sale!",1
121,I love this top! it's easily both day and night-worthy with a splash of sexiness in a front peek-a-boo design. lovely embossed design all over.,1
122,"I got this top in white and really like it. its soft, comfortable fits well but it is a little see through.",1
123,"Lovely cut, pretty creamy color, great top for strong shoulders, however. the upper section of this top is way more sheer than it appears in the photos. there is no bra that would really work with it--unless you want to embrace the undergarment visibility and go with one that has really pretty straps. just be sure the bra fits especially well, because any back fat will absolutely show. if you go without a bra, though: headlights. so there's that.",0
124,Super cute and more fitted than the baggy overalls of yesteryear. i love them.,1
125,"Other than the color (i got the rose color), which is great, i think my favorite part about this jacket is that the sleeves are actually long enough. i am 5'7"" and the sleeves come right to my wrists, if not just a tad longer onto my hands. it's also got some stretch to it so it doesn't make you feel to stiff as you wear it; you can move in it :) it's very comfortable and pretty.",1
126,"Yes,you need these, so comfortable - and wash up perfectly - workout, walking or great to sleep in",0
127,"I liked this top (in black), but it didn't fit me well. had to return.",0
128,Comfortable and flattering for all body types...good for both day and evening...,1
129,"The fabric of this top is a tee shirt, mid weight material. it has a nice drape and the color variations along the vee are true to the photo. i purchased size large and it's a bit wide and long for my frame. you could safely size down. the fabric drapes nicely but i didn't like the sleeves or length and it fits large so am returning.",1
130,I wanted this dress to work so badly but if you have any chest or any hips this won't work for you. i tried in petites and regular and it just didn't work at all,0
